Index,Strike,Mid,IV,Delta,Type,Maturity,Tau
0,292,17.05,24.92%,0.9597,Call,7/25/2025,0.021917808
1,293,16.03,19.47%,0.9817,Call,7/25/2025,0.021917808
2,294,14.73,21.33%,0.963,Call,7/25/2025,0.021917808
3,295,13.68,25.86%,0.9157,Call,7/25/2025,0.021917808
4,296,12.68,17.16%,0.9717,Call,7/25/2025,0.021917808
5,297,11.75,23.19%,0.904,Call,7/25/2025,0.021917808
6,297.5,11.23,16.92%,0.9555,Call,7/25/2025,0.021917808
7,298,10.73,16.29%,0.9541,Call,7/25/2025,0.021917808
8,299,9.85,17.55%,0.9218,Call,7/25/2025,0.021917808
9,300,8.93,20.18%,0.8658,Call,7/25/2025,0.021917808
10,301,7.98,15.55%,0.8966,Call,7/25/2025,0.021917808
11,302,7.18,17.09%,0.8411,Call,7/25/2025,0.021917808
12,302.5,6.73,16.73%,0.8272,Call,7/25/2025,0.021917808
13,303,6.3,16.45%,0.8106,Call,7/25/2025,0.021917808
14,304,5.43,15.55%,0.7778,Call,7/25/2025,0.021917808
15,305,4.68,15.21%,0.7301,Call,7/25/2025,0.021917808
16,306,3.95,15.10%,0.6731,Call,7/25/2025,0.021917808
17,307,3.33,15.00%,0.6109,Call,7/25/2025,0.021917808
18,307.5,2.92,14.89%,0.5786,Call,7/25/2025,0.021917808
19,308,2.64,14.74%,0.5454,Call,7/25/2025,0.021917808
20,309,2.18,14.76%,0.4771,Call,7/25/2025,0.021917808
21,310,1.73,14.86%,0.4104,Call,7/25/2025,0.021917808
22,311,1.42,15.07%,0.3484,Call,7/25/2025,0.021917808
23,312,1.11,15.23%,0.2912,Call,7/25/2025,0.021917808
24,312.5,0.98,15.43%,0.2664,Call,7/25/2025,0.021917808
25,313,0.86,15.37%,0.2398,Call,7/25/2025,0.021917808
26,314,0.67,15.46%,0.1939,Call,7/25/2025,0.021917808
27,315,0.51,15.54%,0.1542,Call,7/25/2025,0.021917808
28,316,0.4,15.94%,0.1256,Call,7/25/2025,0.021917808
29,317,0.3,16.19%,0.0999,Call,7/25/2025,0.021917808
30,317.5,0.27,16.11%,0.0861,Call,7/25/2025,0.021917808
31,318,0.23,16.26%,0.0767,Call,7/25/2025,0.021917808
32,319,0.18,16.56%,0.0607,Call,7/25/2025,0.021917808
33,320,0.15,16.82%,0.0475,Call,7/25/2025,0.021917808
34,321,0.11,17.11%,0.0373,Call,7/25/2025,0.021917808
35,322,0.09,17.51%,0.03,Call,7/25/2025,0.021917808
36,322.5,0.06,17.65%,0.0265,Call,7/25/2025,0.021917808
37,323,0.07,17.72%,0.0231,Call,7/25/2025,0.021917808
38,324,0.06,18.22%,0.0191,Call,7/25/2025,0.021917808
39,325,0.05,18.59%,0.0154,Call,7/25/2025,0.021917808
40,292,0.04,19.06%,-0.0115,Put,7/25/2025,0.021917808
41,293,0.05,18.76%,-0.0151,Put,7/25/2025,0.021917808
42,294,0.05,18.80%,-0.0216,Put,7/25/2025,0.021917808
43,295,0.07,17.91%,-0.0242,Put,7/25/2025,0.021917808
44,296,0.08,16.98%,-0.0271,Put,7/25/2025,0.021917808
45,297,0.1,16.53%,-0.0346,Put,7/25/2025,0.021917808
46,297.5,0.11,16.24%,-0.0385,Put,7/25/2025,0.021917808
47,298,0.12,16.19%,-0.0452,Put,7/25/2025,0.021917808
48,299,0.15,15.64%,-0.0565,Put,7/25/2025,0.021917808
49,300,0.21,15.47%,-0.0759,Put,7/25/2025,0.021917808
50,301,0.26,15.01%,-0.0962,Put,7/25/2025,0.021917808
51,302,0.36,14.82%,-0.126,Put,7/25/2025,0.021917808
52,302.5,0.43,14.71%,-0.1433,Put,7/25/2025,0.021917808
53,303,0.5,14.62%,-0.1626,Put,7/25/2025,0.021917808
54,304,0.67,14.62%,-0.2096,Put,7/25/2025,0.021917808
55,305,0.9,13.98%,-0.2546,Put,7/25/2025,0.021917808
56,306,1.19,14.40%,-0.3216,Put,7/25/2025,0.021917808
57,307,1.52,14.06%,-0.3853,Put,7/25/2025,0.021917808
58,307.5,1.73,14.48%,-0.4226,Put,7/25/2025,0.021917808
59,308,1.93,14.01%,-0.4563,Put,7/25/2025,0.021917808
60,309,2.46,14.65%,-0.5274,Put,7/25/2025,0.021917808
61,310,3,14.00%,-0.6012,Put,7/25/2025,0.021917808
62,311,3.58,14.75%,-0.6612,Put,7/25/2025,0.021917808
63,312,4.33,13.61%,-0.7408,Put,7/25/2025,0.021917808
64,312.5,4.73,14.75%,-0.7516,Put,7/25/2025,0.021917808
65,313,5.07,13.60%,-0.8,Put,7/25/2025,0.021917808
66,314,5.85,12.97%,-0.865,Put,7/25/2025,0.021917808
67,315,6.63,15.70%,-0.8538,Put,7/25/2025,0.021917808
68,316,7.6,14.70%,-0.9091,Put,7/25/2025,0.021917808
69,317,8.45,16.72%,-0.9048,Put,7/25/2025,0.021917808
70,317.5,8.95,16.58%,-0.922,Put,7/25/2025,0.021917808
71,318,9.43,17.25%,-0.9246,Put,7/25/2025,0.021917808
72,319,10.43,17.52%,-0.9441,Put,7/25/2025,0.021917808
73,320,11.52,18.77%,-0.9474,Put,7/25/2025,0.021917808
74,321,12.33,19.99%,-0.9502,Put,7/25/2025,0.021917808
75,322,13.38,19.65%,-0.9688,Put,7/25/2025,0.021917808
76,322.5,13.88,20.22%,-0.9698,Put,7/25/2025,0.021917808
77,323,14.38,20.78%,-0.9706,Put,7/25/2025,0.021917808
78,324,15.25,21.89%,-0.9723,Put,7/25/2025,0.021917808
79,325,16.73,25.38%,-0.9521,Put,7/25/2025,0.021917808
80,289,20.08,27.89%,0.9369,Call,7/28/2025,0.030136986
81,290,19.1,27.12%,0.9319,Call,7/28/2025,0.030136986
82,291,18.1,25.94%,0.9294,Call,7/28/2025,0.030136986
83,292,16.73,15.16%,0.9906,Call,7/28/2025,0.030136986
84,293,15.73,14.26%,0.9905,Call,7/28/2025,0.030136986
85,294,14.73,13.36%,0.9903,Call,7/28/2025,0.030136986
86,295,13.73,12.46%,0.9902,Call,7/28/2025,0.030136986
87,296,12.78,13.94%,0.9734,Call,7/28/2025,0.030136986
88,297,11.78,12.97%,0.972,Call,7/28/2025,0.030136986
89,298,10.83,13.28%,0.9559,Call,7/28/2025,0.030136986
